Simulation	StageDep	SexDep	Stage	Sex	DensDep	IndVar	FindMate	MinSteps	MaxSteps	MaxStepsYear	S0	AlphaS	BetaS	S0Mean	S0SD	AlphaSMean	AlphaSSD	BetaSMean	BetaSSD	S0Scale	AlphaSScale	BetaSScale
1	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
1	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
2	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
2	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
4	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
4	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
5	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
5	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
6	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
6	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
7	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
7	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
8	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
8	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
9	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
9	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
